ID,ProvName,ProvService,ProvUndiscl,ProvSpanish,ProvStreet,ProvCity,ProvState,ProvZIP,ProvLat,ProvLong,ProvWebsite,ProvPhone,ProvEmail,ProvDescr,LastUpdate
307,DHS Downtown Branch,SNP,FALSE,FALSE,50 SW Second Avenue,Portland,OR,97204,45.52226,-122.67171,https://govstatus.egov.com/or-dhs-benefits,971-673-1400,,"Apply for food, cash and child care assistance in one place.",202108
308,DHS East Branch,SNP,FALSE,FALSE,11826 NE Glisan St.,Portland,OR,97220,45.52509,-122.54051,https://govstatus.egov.com/or-dhs-benefits,971-673-0909,,"Apply for food, cash and child care assistance in one place.",202108
309,DHS Northeast Branch,SNP,FALSE,FALSE,4425 NE Broadway,Portland,OR,97213,45.53542,-122.61742,https://govstatus.egov.com/or-dhs-benefits,971-673-5722,,"Apply for food, cash and child care assistance in one place.",202108
310,DHS St Johns Branch,SNP,FALSE,FALSE,6443 N Lombard St.,Portland,OR,97203,45.58567,-122.73288,https://govstatus.egov.com/or-dhs-benefits,971-673-5500,,"Apply for food, cash and child care assistance in one place.",202108
311,DHS Southeast Branch,SNP,FALSE,FALSE,8129 SE Malden St.,Portland,OR,97206,45.46805,-122.57979,https://govstatus.egov.com/or-dhs-benefits,971-673-2550,,"Apply for food, cash and child care assistance in one place.",202108
312,DHS Oregon City  Free Food Market,"SNP, PRD",FALSE,FALSE,315 S. Beavercreek Rd.,Oregon City,OR,97045,45.33416,-122.59455,https://govstatus.egov.com/or-dhs-benefits,971-673-7300,,"Apply for food, cash and child care assistance in one place.",202108
313,DHS North Clackamas Free Food Market,"SNP, PRD",FALSE,FALSE,16440 SE 82nd Drive,Clackamas,OR,97015,45.40418,-122.56791,https://govstatus.egov.com/or-dhs-benefits,971-673-3400; 503-282-0555,,"Apply for food, cash and child care assistance in one place.",202108
315,WIC Northeast Portland,WIC,FALSE,FALSE,5329 NE MLK Jr. Blvd.,Portland,OR,97211,45.56206,-122.66157,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-988-3503,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
316,WIC East County,WIC,FALSE,FALSE,"600 NE 8th Street, #230",Gresham,OR,97030,45.50261,-122.42361,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-988-3503,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
317,WIC Gateway,WIC,FALSE,FALSE,131 NE 102nd Ave. Bldg. #1,Portland,OR,97220,45.52383,-122.55832,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-988-3503,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
318,WIC Hillsboro,WIC,FALSE,FALSE,254 N First Ave,Hillsboro,OR,97124,45.52476,-122.98936,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-846-3555,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
319,WIC Beaverton,WIC,FALSE,FALSE,12550 SW Second St.,Beaverton,OR,97005,45.48542,-122.80571,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-846-3555,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
320,WIC Tigard,WIC,FALSE,FALSE,7360 SW Hunziker St.,Tigard,OR,97223,45.42756,-122.75781,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-846-3555,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
321,WIC Oregon City,WIC,FALSE,FALSE,999 Library Ct,Oregon City,OR,97045,45.3347,-122.59843,https://www.oregon.gov/oha/PH/HEALTHYPEOPLEFAMILIES/WIC/Pages/index.aspx,503-655-8476,,"Support for  supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",202108
322,Grace Memorial Episcopal Church,DIN,FALSE,FALSE,1535 NE 17th Ave,Portland,OR,97232,45.53388,-122.64916,http://www.grace-memorial.org/,503-287-0418,,"Free Meals.  Sack lunch hours: 11 AM-1 PM Tuesday-Thursday. Dinner at 6 PM Friday. (Except June, July, August.)",202108
327,St. Philip the Deacon Episcopal Church,DIN,FALSE,FALSE,120 NE Knott St.,Portland,OR,97212,45.54148,-122.66381,http://www.stphilipthedeacon.org/,503-281-5802,,Free Meals.  HOURS: 11 AM-1 PM Saturday. (Closed 5th Saturday.),202108
329,Rahab’s Sisters at Saints Peter and Paul Episcopal Church,DIN,FALSE,FALSE,247 SE 82nd Ave.,Portland,OR,97215,45.52078,-122.57949,https://rahabs-sisters.org/resources,971-208-3176,,"Our doors are open to anyone who identifies as a woman, or whose gender identity makes them vulnerable. During the COVID-19 crisis, we are offering to-go meals and supplies to anyone in need, regardless of gender. Find us between 7:00 p.m. and 9:30 p.m.",202108
330,Saint Francis of Assisi Dining Hall,DIN,FALSE,FALSE,330 SE 11th Avenue,Portland,OR,97214,45.52038,-122.65413,https://stfrancispdx.org/dining-hall,503-234-2028,,"Free Meals.  HOURS: Mon-Fri, Noon - 2:00pm.",202108
331,Potluck in the Park,DIN,FALSE,FALSE,798 NW Glisan Street,Portland,OR,97209,45.52655,-122.67857,https://www.potluckinthepark.org/,503-255-7611,,Free Meals. Sundays. Main Meal Service begins at noon. Desserts – noon-2:30.,202108
332,Rose Haven,DIN,FALSE,FALSE,627 NW 18th Ave,Portland,OR,97209,45.5276,-122.68971,http://www.rosehaven.org/,503-248-6364,,"Free Meals. Hours: 8:30 AM-noon, 1-4 PM Monday-Friday 3 PM closure Wednesday. Nutritious meals provided to women and their children. At-the-door support: food, water, emergency clothing, diapers, wipes, hygiene products, mail service, pet food, outdoor supplies as they last until further notice.",202108
334,Salvation Army TV Citadel,"DIN, GRO",FALSE,FALSE,351 SE Oak St,Hillsboro,OR,97123,45.51898,-122.98503,https://hillsboro.salvationarmy.org/hillsboro/cure-hunger/,503-640-4311,,Daily sack lunch 10:00-11:30am.,202108
335,Living Way Fellowship,"LDR, DIN",FALSE,FALSE,39300 Durbarko Rd,Sandy,OR,97055,45.38942,-122.25817,https://www.sandy.church/events/,503-668-8088,,"Laundry services at Cedars Laundromat with hot meal provided. Three free large loads with soap and fabric softener provided. Laundry (at Cedars Laundromat) and meal: 6-8 PM Second Tuesday. Meal only at Fellowship: 5:45-6:30 PM first and third Wednesdays, Sept.-May. Hot Breakfast 8:30-10:30 AM Sunday.",202108
337,Sunshine Division,"GRO, CLO",FALSE,FALSE,687 N Thompson St.,Portland,OR,97227,45.5387,-122.67382,http://www.sunshinedivision.org/,503-823-2102,,Food Assistance Monday – Friday: 9:30am to 11:00am & 12:30pm to 3:30pm; Saturday: 9:30am to 1:00pm,202108
338,Sunshine Division,"GRO, CLO",FALSE,FALSE,12436 SE Stark St,Portland,OR,97233,45.51875,-122.53503,https://sunshinedivision.org/get-help/,971-255-0834,,Food Assistance Tuesday – Friday: 9:30am to 11:00am & 12:30pm to 3:30pm; Saturday: 9:00am to 1:00pm,202108
341,Here We Go Again Deluxe Resale Boutique,CLO,FALSE,FALSE,511 S Carolina St.,Portland,OR,97239,45.47888,-122.67347,https://hwga.com/,503-244-6910,,Portland's purveyors of upscale & unique resale treasures. Tuesday-Saturday - 11 am to 6 pm; Sunday - 12 pm to 5 pm.,202108
343,"Ambulance, Police, Fire",PHN,FALSE,FALSE,,,USA,,,,,9/1/2001,,,202108
344,Alcohol/Drug Help Line,PHN,TRUE,FALSE,,,OR,,,,https://www.linesforlife.org/alcohol-and-drug-helpline/,1-800-923-4357 or 503-244-1312,,,202108
345,Call to Safety (formerly Women's Crisis Line),PHN,FALSE,FALSE,,,OR,,,,https://calltosafety.org/,1-888-235-5333; 503-235-5333,,,202108
346,Child Abuse Hotline - Oregon,PHN,FALSE,FALSE,,,OR,,,,,1-855-503-SAFE (7233) or 503-731-3100,,,202108
347,Clackamas Women's Crisis Hotline,PHN,FALSE,FALSE,,,OR,,,,,503-654-2288,,,202108
348,Clackamas County Behavioral Health,"PHN, CTR",FALSE,FALSE,,,OR,,,,https://www.clackamas.us/healthcenters/hilltop.html,503-742-5335,,,202108
349,Cocaine Anonymous,PHN,FALSE,FALSE,,,OR,,,,,503-256-1666,,,202108
350,David Romprey Oregon Warmline,PHN,FALSE,FALSE,,,OR,,,,https://communitycounselingsolutions.org/warmline/,1-800-698-2392,,,202108
351,Multnomah County Crisis Line,PHN,FALSE,FALSE,,,OR,,,,,1-800-716-9769; 503-988-4888,,,202108
352,Narcotics Anonymous,PHN,FALSE,FALSE,,,OR,,,,,503-345-9839,,,202108
353,National Child Abuse Hotline,PHN,FALSE,FALSE,,,USA,,,,https://www.childhelp.org/hotline/,1-800-422-4453,,,202108
354,National Domestic Violence Hotline,PHN,FALSE,FALSE,,,USA,,,,https://www.thehotline.org/,1-800-799-7233,,,202108
355,National Sexual Assault Hotline,PHN,FALSE,FALSE,,,USA,,,,https://www.rainn.org/about-national-sexual-assault-telephone-hotline,1-800-656-4673,,,202108
356,National Human Trafficking Hotline,PHN,FALSE,FALSE,,,USA,,,,https://www.sprc.org/,1-888-373-7888,,,202108
357,National Suicide Prevention Lifeline,"PHN, SUI",FALSE,FALSE,,,USA,,,,https://suicidepreventionlifeline.org/,1-800-273-TALK (8255),,,202108
358,Oregon Abuse Hotline,PHN,FALSE,FALSE,,,OR,,,,,1-855-503-7233; TTY/voice 503-945-5811,,,202108
359,Oregon Coalition Against Domestic & Sexual Violence,PHN,FALSE,FALSE,,,OR,,,,https://www.ocadsv.org/find-help,503-230-1951,,,202108
360,Oregon Youthline,PHN,FALSE,FALSE,,,OR,,,,,1-877-968-8491; or text: teen2teen to 839863,,,202108
361,Sexual Assault Resource Center,PHN,FALSE,FALSE,,,OR,,,,https://sarcoregon.org/24-hour-support-line/,503-640-5311; 1-888-640-5311,,,202108
362,Veteran Suicide Hotline,PHN,FALSE,FALSE,,,USA,,,,https://www.veteranscrisisline.net/,1-800-273-8255,,,202108
374,Baker County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://newdirectionsnw.org/mental-health-services/,541-523-3646; crisis line: 541-523-5914,,,202108
375,Benton County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.co.benton.or.us/health/page/behavioral-health,541-766-6835; after hours crisis line: 888-232-7192,,,202108
376,Clackamas County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.clackamas.us/behavioralhealth/,503-742-5335; 24-hour crisis line: 503-655-8585,,,202108
377,Clatsop County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.clatsopbh.org/,503-325-5722; Crisis Line: 503-325-5724,,,202108
378,Columbia County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.ccmh1.com/,503-397-5211; after hours crisis line: 866-866-1426,,,202108
379,Coos County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://cooshealthandwellness.org/behavioral-health/,541-266-6700; 24-hour crisis line: 541-266-6800,,,202108
380,Crook County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://co.crook.or.us/health/page/mental-health,541-447-7441; 24-hour crisis line: 888-232-7192,,,202108
381,Curry County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.currych.org/services/behavioral-health/mental-health/,541-247-4082; Gold Beach: 541-373-8001; Brookings: 541-813-2535; Port Orford: 541-373-8085; after hours crisis line: 877-519-9322,,,202108
382,Deschutes County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.deschutes.org/health/page/behavioral-health,541-322-7500; 24-hour crisis line: 541-322-7500,,,202108
383,Douglas County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.adaptoregon.org/mental-health/,541-440-3532; 800-866-9780,,,202108
384,Gilliam County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.co.gilliam.or.us/residents/community_counseling_solutions/index.php,Arlington: 541-454-2223; Condon: 541-384-2666,,,202108
385,Grant County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://grantcountyoregon.net/326/Community-Counseling-Solutions,541-575-1466; after hours crisis line: 541-575-0030,,,202108
386,Harney County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.harneydh.com/services/behavioral-health/,541-573-2074,,,202108
387,Hood River County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.mccfl.org/services/mental-health/,541-386-2620; after hours crisis line: 888-877-9147,,,202108
388,Jackson County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://jacksoncountyor.org/hhs/Mental-Health,541-774-8201,,,202108
389,Jefferson County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.bestcaretreatment.org/,541-504-9577,,,202108
390,Josephine County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.optionsonline.org/,541-476-2373; after hours crisis line: 541-474-5360,,,202108
391,Klamath County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.kbbh.org/,541-883-1030,,,202108
392,Lake County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.lakecountyor.org/government/mental_health.php,541-947-6021,,,202108
393,Lane County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=4133179,"541-682-3608, 541-682-4085; 24-hour crisis line: 541-687-4000",,,202108
394,Lincoln County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.co.lincoln.or.us/hhs/page/mental-health-substance-abuse-and-problem-gambling,Adults: 541-574-5960; Children: 541-265-4179; Lincoln City: 541-265-4196; Crisis Number 1-888-232-7192 (24 hours),,,202108
395,Linn County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.linncountyhealth.org/mh,541-967-3866;  24-hour crisis line: 800-304-7468; 24-hour crisis line: 800-560-5535,,,202108
396,Malheur County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.lifeways.org/,541-889-9167; 24-hour crisis line: 800-995-9169,,,202108
397,Marion County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.co.marion.or.us/HLT/MH/Pages/adultmentalhealth.aspx,"503-588-5351, Woodburn: 503-981-5851; Crisis Number 503-585-4949; Youth and Family Crisis Line focused on ages under 18(available 8am-10pm 7 days a week) 503-576-HOPE (4673)",,,202108
398,Morrow County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.communitycounselingsolutions.org/,Heppner: 541-676-9161; Boardman: 541-481-2911,,,202108
399,Multnomah County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://web.multco.us/mhas,"503-988-5887; Crisis Numbers 503-988-4888, 1-800-716-9769",,,202108
400,Polk County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.co.polk.or.us/bh,"Dallas 503-623-9289; West Salem: 503-585-3012; after hours crisis line: 503-581-5535, 800-560-5833",,,202108
401,Sherman County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.co.sherman.or.us/govt_mental_health.asp,541-296-5452; after hours crisis line: 888-877-9147,,,202108
402,Tillamook County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://tillamookchc.org/behavioral-health/,503-842-3900; 503-842-8201; Crisis Numbers 503-842-8201 or 1-800-962-2851,,,202108
403,Umatilla County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.lifeways.org/,"Pendleton: 541-276-6207, Hermiston: 541-922-6226, Milton-Freewater: 866-343-4473; 24-hour crisis line: 866-343-4473",,,202108
404,Union County Mental Health,PHN,FALSE,FALSE,,,OR,,,,http://www.chdinc.org/,541-962-8800; after hours crisis line: 541-962-7126,,,202108
405,Wallowa County Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://www.wvcenterforwellness.org/,541-426-4524; after hours crisis line: 541-398-1175,,,202108
406,Confederated Tribes of Warm Springs Mental Health,PHN,FALSE,FALSE,,,OR,,,,https://warmsprings-nsn.gov/program/community-counseling/,541-553-3205; after hours crisis line: 541-553-1171,,,202108
407,Wasco County Mental Health--The Dalles,"PHN, CTR, SPN",FALSE,FALSE,1060 Webber Street,The Dalles,OR,97058,45.60673,-121.20662,https://www.mccfl.org/services/mental-health/,541-296-5452,,,202108
408,Washington County Mental Health,"PHN, CTR",FALSE,FALSE,5240 NE Elam Young Parkway,Hillsboro,OR,97124,45.52943,-122.93088,http://www.co.washington.or.us/HHS/MentalHealth,503-846-4528; 503-291-1155; 24-hour crisis line: 503-291-9111,,,202108
409,Wheeler County Mental Health,"PHN, CTR",FALSE,FALSE,550 W. Sperry St.,Heppner,OR,97836,,,http://www.communitycounselingsolutions.org/,541-676-9161; 541-763-2746,,,202108
412,National Abortion Federation,PHN,FALSE,FALSE,,,USA,,,,https://prochoice.org/think-youre-pregnant/naf-hotline/,1-800-772-9100 (hotline); 1-877-257-0012 (referral),,,202108
413,Pregnancy Resource Center (All-Options Talkline),PHN,FALSE,FALSE,,,USA,,,,https://alloptionsprc.org/our-services/talkline/,1-812-558-0089,,,202108
414,"Sex, Gender, and Relationships Hotline",PHN,FALSE,FALSE,,,WA,,,,https://sgrhotline.org/,415-989-7374,,,202108
415,Bradley Angle House,TSF,FALSE,FALSE,5432 N. Albina Ave,Portland,OR,97217,45.56248,-122.6749,https://bradleyangle.org/,503-281-2442,,"The mission of Bradley Angle is to offer survivors of domestic and sexual violence options for safety, empowerment, healing and hope, while collaborating with our communities to create social change. Emergency Shelter provides up to 10-12 weeks of shelter and support services for nine families. Case management and advocacy providers assist residents in obtaining clothing, furnishings, transportation, employment and/or job training, financial assistance, parenting support and groups, health services, drug, alcohol and mental health services. Services are from a combination of onsite inter-agency collaborations, referrals and information.",202108
416,Goose Hollow Family Shelter,TSF,FALSE,FALSE,1838 SW Jefferson,Portland,OR,97201,45.51751,-122.6938,http://www.pdxhfs.org/,503-595-9390,,"Night shelter for 8 homeless families with children. Families are able to stay at the shelter for about 30-60 days. Open from 6:30pm until 7:30am each night of the year. Sleeping space where the family gets to stay together, dinner and breakfastshowers with all toiletries and hygiene products provided, laundry facilities, access to computers, a telephone, and a mailing address.",202108
417,Housing Authority Of Portland,TSF,FALSE,FALSE,135 SW Ash Street,Portland,OR,97204,45.52194,-122.67201,http://www.hapdx.org,503-802-8300,,Housing authorities provide decent and affordable housing in a safe and secure living environment for low and moderate income residents. Oftentimes they provide section 8 housing choice vouchers for those that qualify for low income housing. Most every housing authority that provides vouchers currently has multi year waiting lists.,202108
418,Vets (veterans Emergency Transitional Shelter),TSA,FALSE,FALSE,30 SW 2nd Ave.,Portland,OR,97204,45.52258,-122.67216,http://www.tsacascade.org,503-239-1259,,"Short-term case management and transitional housing for veterans. Accepts men, women, and families for up to 9 months for veterans that qualify with TB card. Informational meeting every Wednesday at 9:00a.m.",202108
419,Casa Esperanza Shelter,TSF,FALSE,FALSE,6200 SE King Rd.,Portland,OR,97222,45.44771,-122.59869,https://www.shelterlistings.org/details/39704/,503-974-9882,,"A refuge specifically for the Latina woman who suffers domestic violence, harassment or sexual assault. It is located in Clackamas County and has a capacity for 6 or 7 families. It is a transitional place for 6 to 8 weeks. The woman and her children under 18 receive support for a new stage in their lives by helping them find the community resources that are available to them. With the search for work, education and relevant topics that will help them acquire security and confidence to make healthy decisions for themselves and their children.",202108
421,Walnut Park Shelter,TSA,FALSE,FALSE,5329 NE MLK Jr Blvd,Portland,OR,97211,45.56206,-122.66157,http://https://www.tprojects.org/shelters/,503-280-4700,corrine.thiem@tprojects.org,"Overnight, termporary seasonal shelter. Accepts: Women, couples, men. If you are 55 or older, a veteran, or have a disaibility, you have priority. Hours: Nightly from 5pm to 7:30am. Must make a reservation or visit in person to Transitions Project Resource Center, 650 NW Irving, Portland OR. Also provided: showers, hygiene supplies, bathroom, bunk beds, coffee, tea.",202108
422,Rose Haven Day Shelter,TSF,FALSE,FALSE,627 NW 18th St,Portland,OR,97209,45.53919,-122.68978,http://www.rosehaven.org/,503-248-6364,info@rosehaven.org,"A day shelter and community center for women and children suffering from abuse, homelessness and other disruptive life events.
Hospitality hours are 8:30 am-noon and then 1pm to 4pm from Monday through Fridays. Appointments are available during afternoons for advocacy and special needs. This private, non profit agency serves the needs of women and children by providing hot, nutritious meals, clothing/hygiene items, mailing and voice mail service.  Classes and activities are available daily.",202108
423,Janus Youth Programs,TSY,FALSE,FALSE,820 SW Oak St.,Portland,OR,97205,45.52221,-122.67981,http://www.janusyouth.org,503-222-2662; 503-233-6090,feedback@janusyouth.org,Janus Youth Programs serves teens who have runaway or are homeless. Youth who have been trafficked for sex. Teen parents and youth living in low-income neighborhoods.,202108
424,Outside In,TSY,FALSE,FALSE,1132 SW 13th Ave.,Portland,OR,97205,45.51756,-122.68656,www.outsidein.org,503-535-3800,info@outsidein.org,Hours Open: Sunday 1:00PM - 8:00PM Monday – Friday 9:00AM -10:00AM and 1:00PM - 6:00PM The Day Program provides youth between the ages of 16 to 21 with a place to stay during the day for those who would otherwise be on the streets. Services include: - Food - Crisis counseling - Activities that build skills For more information contact Outside In or visit the Outside In website.,202108
425,United States Mission,TSA,FALSE,FALSE,4545 NE Garfield Ave,Portland,OR,97211,45.55623,-122.66293,http://usmission.org/,503-288-9294,usmissionsg@q.com,"While we are a religious corporation, we are strictly dedicated to service. Belief in any faith or method of worship is never a requirement for the men and women entering our program. What is required is a sincere desire to get off the streets for good and return to society in a productive and positive way.",202108
426,NHA Annie Ross House,TSF,FALSE,FALSE,2316 SE Willard Street,Milwaukie,OR,97222,45.44036,-122.63754,https://nwhousing.org/homeless-services/annie-ross-house/,503-655-8575,ariane@lechevallierstrategies.com,"The Annie Ross House helps families move from the crisis of homelessness to stable and secure lives in permanent and affordable homes. To meet this objective, Annie Ross program participants receive access to housing enriched with case management assistance provided by Family Support Specialists.",202108
427,Road to Hope Maternity Home,TSF,FALSE,FALSE,2850 SW Cedar Hills Blvd,Beaverton,OR,97005,45.49993,-122.80547,https://road2hopepdx.org/,503-648-4227,office@Road2HopePdx.org,Our shelter offers unsupported pregnant mothers a safe and stable home in a residential facility. Women enter the home at any point during their pregnancy and may stay up to a year after their baby is born.,202108
429,Clackamas Women's Services,TSA,TRUE,FALSE,256 Warner Milne Road,Oregon City,OR,97045,,,http://www.cwsor.org/,888-654-2288;  503-655-8600,info@cwsor.org,"Clackamas County's only shelter for women & children escaping family violence, CWS has safely harbored over 7,000 women & children within the walls of our two shelters. Each night thirty-two women & children call these shelters ""home"" as they regain control of their lives and plan for their futures.",202108
431,Glenfair Elementary School Food Pantry,GRO,FALSE,FALSE,15300 NE Glisan St.,Portland,OR,97230,45.52535,-122.5054,http://www.metfamily.org/hungerrelief/,,,Tuesdays 3:30pm-5pm,202108
432,Alder Elementary School Food Pantry,GRO,FALSE,FALSE,17200 SE Alder St.,Portland,OR,97233,45.51657,-122.48677,http://www.metfamily.org/hungerrelief/,,,"Free Groceries.  Wednesdays 2:30 – 4:00. SUMMER HOURS starting Wednesday, June 16th: Wednesdays 12:30pm-2:00pm",202108
433,David Douglas High School Food Pantry,GRO,FALSE,FALSE,1500 SE 130th Ave.,Portland,OR,97233,45.51279,-122.52864,https://www.ddouglas.k12.or.us/school-during-covid/food-resources/,,,Thursdays 3pm-5pm. Note: This location is different from the main campus on 135th Ave.,202108
434,Parklane Elementary School Food Pantry,GRO,FALSE,FALSE,15811 SE Main St.,Portland,OR,97233,45.51534,-122.50041,http://www.metfamily.org/hungerrelief/,,,"Fridays 3:00pm-4:30pm. SUMMER HOURS starting Friday, June 18th: Fridays 1:00pm-2:30pm",202108
435,Meals on Wheels People - Multnomah & Washington Counties,DIN,FALSE,FALSE,7710 SW 31st Avenue,Portland,OR,97219,45.46847,-122.70833,https://www.mowp.org/what-we-do/,203-736-6325,,"We serve seniors who live in Multnomah or Washington counties. The cost of each meal is $7.39. Diners over the age of 60 are asked to contribute what they can afford. Meals are delivered Monday through Thursday. Clients must be at home to receive meals, meals will not be left. Meals on Wheels volunteers have received background checks and training prior to delivery.",202108
436,"Meals on Wheels People - Clark County, WA",DIN,FALSE,FALSE,700 NE 136th Ave,Vancouver,WA,98684,45.62506,-122.53557,https://www.mowp.org/what-we-do/,866-788-6325,,"We serve seniors who live in Clark County in Washington. The cost of each meal is $7.39. Diners over the age of 60 are asked to contribute what they can afford. Meals are delivered Monday through Thursday. Clients must be at home to receive meals, meals will not be left. Meals on Wheels volunteers have received background checks and training prior to delivery.",202108
437,Meals 4 Kids,DIN,FALSE,FALSE,7710 SW 31st Avenue,Portland,OR,97219,45.46847,-122.70833,https://www.mowp.org/what-we-do/meals-for-kids/,503-953-8115,,"The Meals 4 Kids home delivery program delivers nutritious meals, milk, bread and fresh fruit directly to the homes of families in need each week on weekdays between 9 a.m. and 2 p.m. We serve families who live within the City of Portland whose income level is 185% or lower of the federal poverty level. The cost of each meal is funded by the Portland Children’s Levy. Meals on Wheels Kids volunteers have received background checks and training prior to delivery.",202108
438,CCMOW CANBY Adult Center,DIN,FALSE,FALSE,1250 S. Ivy,Canby,OR,97013,45.25246,-122.68688,https://www.ccmow.org/home/,503-266-2970,,Clackamas County Meals on Wheels,202108
449,Columbia Pacific Food Bank,GRO,FALSE,FALSE,474 Milton Way,St. Helens,OR,97051,45.85533,-122.82322,https://cpfoodbank.org/,503-397-9708,,"Our food bank delivers food to 38 food pantries, meal programs and produce distribution points throughout the Columbia County, Oregon.",202108
450,Rerun,CLO,FALSE,FALSE,707 NE Fremont Street,Portland,OR,97212,45.54848,-122.65835,https://www.portlandrerun.com/clothing-for-sale/,503-517-3786,,"HOURS: 10:30am-5 Tuesday, 10:30am-5 Wednesday.",202108
451,Rerun2,CLO,FALSE,FALSE,6940 NE Sandy Blvd.,Portland,OR,97213,45.54712,-122.59126,https://www.portlandrerun.com/clothing-for-sale/,503-517-3786,,"HOURS: 11am-6pm Thursday, 11am-6pm Friday, 11am-6pm Saturday, 11am-5pm Sunday.",202108
452,Mainspring,CLO,FALSE,FALSE,3500 NE 82nd Ave.,Portland,OR,97220,45.5483,-122.57839,http://www.mainspringpdx.org/,503-233-5533,,"HOURS: Mon, Tue, Wed 10:00 am - 1 pm.",202108
453,Mainspring,GRO,FALSE,FALSE,3500 NE 82nd Ave.,Portland,OR,97220,45.5483,-122.57839,http://www.mainspringpdx.org/food,503-233-5533,,"HOURS: Mon, Tue, Wed, Thu 9:30 am - Noon.",202108
454,Buffalo Exchange - Hawthorne,CLO,FALSE,FALSE,1420 SE 37th Ave.,Portland,OR,97214,45.51245,-122.62558,https://www.buffaloexchange.com/location/hawthorne-portland/,503-234-1302,,Store Hours: 11am-8pm Mon-Sat; 11am-7pm Sun,202108
455,Buffalo Exchange - Downtown,CLO,FALSE,FALSE,1036 W. Burnside St.,Portland,OR,97214,45.52293,-122.68187,https://www.buffaloexchange.com/location/downtown-portland/,503-234-1302,,Store Hours: Mon-Sat 11am-8pm; Su 11am-7pm,202108
457,Red Light Clothing Exchange,CLO,FALSE,FALSE,3590 SE Hawthorne Blvd,Portland,OR,97214,45.51183,-122.62696,https://shopredlight.com/password,503-963-8888,,"Our online store is under constrution, but our physical store is open, Thursday-Monday 12-2 and 2:30-6.",202108
